,sequence,verbose,loss,fid
6008,"(7, 3, 10, 2, 3)","1-3, 0-2, 2-3, 0-1, 0-2",2.840306903258617e-13,0.9999999999997152
1723,"(2, 6, 4, 10, 2)","0-1, 1-2, 0-3, 2-3, 0-1",2.8494398608079357e-13,0.9999999999997151
1652,"(2, 6, 2, 6, 7)","0-1, 1-2, 0-1, 1-2, 1-3",2.8509859414199376e-13,0.9999999999997148
4764,"(6, 3, 4, 6, 2)","1-2, 0-2, 0-3, 1-2, 0-1",2.86861207918086e-13,0.9999999999997136
6821,"(10, 2, 3, 4, 2)","2-3, 0-1, 0-2, 0-3, 0-1",2.9081682632441103e-13,0.9999999999997096
2995,"(3, 7, 2, 10, 4)","0-2, 1-3, 0-1, 2-3, 0-3",2.9240062515684524e-13,0.999999999999708
2584,"(3, 3, 10, 10, 7)","0-2, 0-2, 2-3, 2-3, 1-3",2.929006809738715e-13,0.9999999999997071
4015,"(4, 6, 4, 10, 7)","0-3, 1-2, 0-3, 2-3, 1-3",2.9349273004375353e-13,0.9999999999997067
6642,"(7, 10, 3, 6, 7)","1-3, 2-3, 0-2, 1-2, 1-3",2.9777731132969315e-13,0.9999999999997019
6907,"(10, 2, 6, 7, 4)","2-3, 0-1, 1-2, 1-3, 0-3",2.979443070554663e-13,0.9999999999997018
1619,"(2, 4, 10, 4, 7)","0-1, 0-3, 2-3, 0-3, 1-3",2.9973929687780425e-13,0.9999999999997008
4390,"(4, 10, 4, 6, 3)","0-3, 2-3, 0-3, 1-2, 0-2",3.052878434516026e-13,0.9999999999996948
5990,"(7, 3, 7, 6, 3)","1-3, 0-2, 1-3, 1-2, 0-2",3.0616381078025294e-13,0.9999999999996942
5974,"(7, 3, 7, 2, 6)","1-3, 0-2, 1-3, 0-1, 1-2",3.0802139012484323e-13,0.999999999999692
2994,"(3, 7, 2, 10, 3)","0-2, 1-3, 0-1, 2-3, 0-2",3.079898794655526e-13,0.9999999999996916
1661,"(2, 6, 2, 10, 3)","0-1, 1-2, 0-1, 2-3, 0-2",3.090131522654947e-13,0.9999999999996907
3632,"(4, 3, 4, 6, 2)","0-3, 0-2, 0-3, 1-2, 0-1",3.1128789766076173e-13,0.9999999999996886
5886,"(7, 3, 3, 6, 10)","1-3, 0-2, 0-2, 1-2, 2-3",3.1200350794835446e-13,0.9999999999996884
2280,"(3, 2, 3, 7, 10)","0-2, 0-1, 0-2, 1-3, 2-3",3.1202295636898315e-13,0.9999999999996881
6959,"(10, 2, 10, 3, 2)","2-3, 0-1, 2-3, 0-2, 0-1",3.1381038368224923e-13,0.9999999999996856
6874,"(10, 2, 4, 7, 10)","2-3, 0-1, 0-3, 1-3, 2-3",3.142215381271128e-13,0.9999999999996856
5952,"(7, 3, 6, 4, 10)","1-3, 0-2, 1-2, 0-3, 2-3",3.1488973274590407e-13,0.9999999999996854
5928,"(7, 3, 4, 7, 10)","1-3, 0-2, 0-3, 1-3, 2-3",3.1476669015963057e-13,0.9999999999996847
2284,"(3, 2, 3, 10, 6)","0-2, 0-1, 0-2, 2-3, 1-2",3.155632935679438e-13,0.9999999999996845
3482,"(4, 2, 6, 7, 2)","0-3, 0-1, 1-2, 1-3, 0-1",3.190554228295273e-13,0.9999999999996807
2278,"(3, 2, 3, 7, 6)","0-2, 0-1, 0-2, 1-3, 1-2",3.209671021835513e-13,0.9999999999996789
4608,"(6, 2, 6, 7, 2)","1-2, 0-1, 1-2, 1-3, 0-1",3.2452596212191204e-13,0.999999999999676
2479,"(3, 3, 4, 4, 7)","0-2, 0-2, 0-3, 0-3, 1-3",3.280240022494261e-13,0.9999999999996717
5867,"(7, 3, 3, 2, 7)","1-3, 0-2, 0-2, 0-1, 1-3",3.285300255516784e-13,0.9999999999996714
1184,"(2, 2, 6, 6, 7)","0-1, 0-1, 1-2, 1-2, 1-3",3.294757988473235e-13,0.9999999999996697
5229,"(6, 6, 7, 7, 4)","1-2, 1-2, 1-3, 1-3, 0-3",3.3039902359734117e-13,0.9999999999996693
3236,"(3, 10, 3, 7, 6)","0-2, 2-3, 0-2, 1-3, 1-2",3.314212487463914e-13,0.9999999999996687
6493,"(7, 7, 4, 4, 3)","1-3, 1-3, 0-3, 0-3, 0-2",3.347081223468272e-13,0.9999999999996658
3984,"(4, 6, 4, 2, 6)","0-3, 1-2, 0-3, 0-1, 1-2",3.348586238996492e-13,0.9999999999996652
4109,"(4, 6, 10, 6, 4)","0-3, 1-2, 2-3, 1-2, 0-3",3.3747518592722486e-13,0.9999999999996625
5850,"(7, 3, 2, 6, 10)","1-3, 0-2, 0-1, 1-2, 2-3",3.3824731318960747e-13,0.999999999999662
2637,"(3, 4, 3, 6, 7)","0-2, 0-3, 0-2, 1-2, 1-3",3.394884486132553e-13,0.99999999999966
3110,"(3, 7, 7, 2, 6)","0-2, 1-3, 1-3, 0-1, 1-2",3.433653782134631e-13,0.9999999999996567
6784,"(10, 2, 2, 3, 10)","2-3, 0-1, 0-1, 0-2, 2-3",3.463430428818939e-13,0.9999999999996537
3432,"(4, 2, 4, 2, 6)","0-3, 0-1, 0-3, 0-1, 1-2",3.461871327822102e-13,0.9999999999996535
4092,"(4, 6, 10, 2, 6)","0-3, 1-2, 2-3, 0-1, 1-2",3.4763235152338886e-13,0.9999999999996526
4954,"(6, 4, 4, 2, 3)","1-2, 0-3, 0-3, 0-1, 0-2",3.480457459489213e-13,0.9999999999996522
2730,"(3, 4, 7, 6, 3)","0-2, 0-3, 1-3, 1-2, 0-2",3.490181614793004e-13,0.9999999999996502
5689,"(7, 2, 3, 7, 2)","1-3, 0-1, 0-2, 1-3, 0-1",3.4974799276536664e-13,0.9999999999996494
6843,"(10, 2, 3, 10, 7)","2-3, 0-1, 0-2, 2-3, 1-3",3.5167705156932195e-13,0.9999999999996485
5786,"(7, 2, 7, 10, 3)","1-3, 0-1, 1-3, 2-3, 0-2",3.5120617332864945e-13,0.9999999999996483
2396,"(3, 2, 10, 3, 7)","0-2, 0-1, 2-3, 0-2, 1-3",3.5215873359195446e-13,0.9999999999996475
4085,"(4, 6, 7, 10, 4)","0-3, 1-2, 1-3, 2-3, 0-3",3.543514626574379e-13,0.9999999999996456
7567,"(10, 7, 2, 3, 10)","2-3, 1-3, 0-1, 0-2, 2-3",3.549512712789265e-13,0.9999999999996453
3655,"(4, 3, 6, 3, 4)","0-3, 0-2, 1-2, 0-2, 0-3",3.554018097247049e-13,0.9999999999996443
3658,"(4, 3, 6, 3, 10)","0-3, 0-2, 1-2, 0-2, 2-3",3.56250836214059e-13,0.9999999999996442
3929,"(4, 6, 2, 6, 4)","0-3, 1-2, 0-1, 1-2, 0-3",3.562651956047364e-13,0.9999999999996433
2273,"(3, 2, 3, 6, 7)","0-2, 0-1, 0-2, 1-2, 1-3",3.568132967459308e-13,0.9999999999996433
2801,"(3, 6, 3, 2, 4)","0-2, 1-2, 0-2, 0-1, 0-3",3.613511565761904e-13,0.9999999999996386
3660,"(4, 3, 6, 4, 3)","0-3, 0-2, 1-2, 0-3, 0-2",3.6154838572075256e-13,0.9999999999996385
2129,"(2, 10, 6, 2, 7)","0-1, 2-3, 1-2, 0-1, 1-3",3.6175594006671624e-13,0.9999999999996376
3908,"(4, 4, 10, 10, 7)","0-3, 0-3, 2-3, 2-3, 1-3",3.630879644403394e-13,0.9999999999996364
2551,"(3, 3, 7, 7, 10)","0-2, 0-2, 1-3, 1-3, 2-3",3.6733036922368987e-13,0.9999999999996331
5933,"(7, 3, 4, 10, 7)","1-3, 0-2, 0-3, 2-3, 1-3",3.66389121107737e-13,0.9999999999996323
3852,"(4, 4, 6, 10, 6)","0-3, 0-3, 1-2, 2-3, 1-2",3.677107809698462e-13,0.9999999999996323
6019,"(7, 3, 10, 4, 2)","1-3, 0-2, 2-3, 0-3, 0-1",3.674214710119285e-13,0.9999999999996321
